experiment,domain,model,template,instance,num_landmarks,used_landmarks,used_ratio
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/22-blocks/p28.log,34,34,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/22-blocks/p27.log,36,36,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/22-blocks/p25.log,35,35,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/22-blocks/p26.log,36,36,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/25-blocks/p32.log,45,45,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/25-blocks/p29.log,46,45,0.98
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/25-blocks/p30.log,40,40,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/25-blocks/p31.log,44,44,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/34-blocks/p41.log,62,61,0.98
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/34-blocks/p42.log,61,61,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/34-blocks/p44.log,59,59,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/34-blocks/p43.log,63,62,0.98
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/31-blocks/p38.log,52,52,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/31-blocks/p37.log,55,53,0.96
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/31-blocks/p39.log,56,56,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/31-blocks/p40.log,54,54,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/28-blocks/p35.log,47,47,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/28-blocks/p34.log,48,48,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/28-blocks/p33.log,50,50,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,blocksworld,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/blocksworld/28-blocks/p36.log,46,46,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/31-packages/p60.log,114,114,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/31-packages/p57.log,122,122,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/31-packages/p59.log,116,116,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/31-packages/p58.log,116,115,0.99
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/27-packages/p52.log,70,70,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/27-packages/p49.log,112,105,0.94
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/27-packages/p50.log,100,94,0.94
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/27-packages/p51.log,106,76,0.72
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/29-packages/p54.log,112,112,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/29-packages/p56.log,88,86,0.98
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/29-packages/p53.log,98,98,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/29-packages/p55.log,112,112,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/23-packages/p41.log,98,75,0.77
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/23-packages/p42.log,74,74,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/23-packages/p44.log,78,78,1.00
running-again-pddl-vs-new-landmarks-on-new-instances,logistics,gemini-thinking,new_landmark,data/experiments/running-again-pddl-vs-new-landmarks-on-new-instances/gemini-thinking/new_landmark/logistics/23-packages/p43.log,82,82,1.00
