experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
only-gemini-thinking,blocksworld,10-blocks,gemini-thinking,landmark,1,4,4,200.75,14.75,1.0,1.0
only-gemini-thinking,blocksworld,10-blocks,gemini-thinking,pddl,1,3,4,199.0,,0.75,0.75
only-gemini-thinking,blocksworld,10-blocks,gemini-thinking,sanity_check,1,4,4,194.5,,1.0,1.0
only-gemini-thinking,blocksworld,13-blocks,gemini-thinking,landmark,1,4,4,283.25,19.25,1.0,1.0
only-gemini-thinking,blocksworld,13-blocks,gemini-thinking,pddl,1,3,4,267.5,,0.75,0.75
only-gemini-thinking,blocksworld,13-blocks,gemini-thinking,sanity_check,1,4,4,258.25,,1.0,1.0
only-gemini-thinking,blocksworld,16-blocks,gemini-thinking,landmark,1,3,4,376.5,26.25,0.75,0.75
only-gemini-thinking,blocksworld,16-blocks,gemini-thinking,pddl,1,4,4,394.25,,1.0,1.0
only-gemini-thinking,blocksworld,16-blocks,gemini-thinking,sanity_check,1,4,4,394.25,,1.0,1.0
only-gemini-thinking,blocksworld,19-blocks,gemini-thinking,landmark,1,3,4,500.5,31.25,0.75,0.75
only-gemini-thinking,blocksworld,19-blocks,gemini-thinking,pddl,1,3,4,488.25,,0.75,0.75
only-gemini-thinking,blocksworld,19-blocks,gemini-thinking,sanity_check,1,3,4,481.25,,0.75,0.75
only-gemini-thinking,blocksworld,22-blocks,gemini-thinking,landmark,1,4,4,578.25,35.25,1.0,1.0
only-gemini-thinking,blocksworld,22-blocks,gemini-thinking,pddl,1,4,4,578.25,,1.0,1.0
only-gemini-thinking,blocksworld,22-blocks,gemini-thinking,sanity_check,1,2,4,566.75,,0.5,0.5
only-gemini-thinking,blocksworld,25-blocks,gemini-thinking,landmark,1,4,4,671.0,43.75,1.0,1.0
only-gemini-thinking,blocksworld,25-blocks,gemini-thinking,pddl,1,1,4,568.25,,0.25,0.25
only-gemini-thinking,blocksworld,25-blocks,gemini-thinking,sanity_check,1,2,4,866.0,,0.5,0.5
only-gemini-thinking,blocksworld,4-blocks,gemini-thinking,landmark,1,4,4,72.0,5.25,1.0,1.0
only-gemini-thinking,blocksworld,4-blocks,gemini-thinking,pddl,1,4,4,72.0,,1.0,1.0
only-gemini-thinking,blocksworld,4-blocks,gemini-thinking,sanity_check,1,4,4,72.0,,1.0,1.0
only-gemini-thinking,blocksworld,7-blocks,gemini-thinking,landmark,1,4,4,136.5,10.25,1.0,1.0
only-gemini-thinking,blocksworld,7-blocks,gemini-thinking,pddl,1,4,4,136.5,,1.0,1.0
only-gemini-thinking,blocksworld,7-blocks,gemini-thinking,sanity_check,1,4,4,135.5,,1.0,1.0
only-gemini-thinking,logistics,11-packages,gemini-thinking,landmark,1,4,4,754.0,37.0,1.0,1.0
only-gemini-thinking,logistics,11-packages,gemini-thinking,pddl,1,3,4,823.75,,0.75,0.75
only-gemini-thinking,logistics,11-packages,gemini-thinking,sanity_check,1,4,4,851.0,,1.0,1.0
only-gemini-thinking,logistics,13-packages,gemini-thinking,landmark,1,2,4,979.5,43.0,0.5,0.5
only-gemini-thinking,logistics,13-packages,gemini-thinking,pddl,1,3,4,893.5,,0.75,0.75
only-gemini-thinking,logistics,13-packages,gemini-thinking,sanity_check,1,4,4,1022.0,,1.0,1.0
only-gemini-thinking,logistics,15-packages,gemini-thinking,landmark,1,2,4,1173.0,52.0,0.5,0.5
only-gemini-thinking,logistics,15-packages,gemini-thinking,pddl,1,3,4,1311.0,,0.75,0.75
only-gemini-thinking,logistics,15-packages,gemini-thinking,sanity_check,1,2,4,1193.0,,0.5,0.5
only-gemini-thinking,logistics,17-packages,gemini-thinking,landmark,1,3,4,1203.5,62.5,0.75,0.75
only-gemini-thinking,logistics,17-packages,gemini-thinking,pddl,1,4,4,1399.5,,1.0,1.0
only-gemini-thinking,logistics,17-packages,gemini-thinking,sanity_check,1,3,4,1510.5,,0.75,0.75
only-gemini-thinking,logistics,19-packages,gemini-thinking,landmark,1,3,4,1415.5,71.5,0.75,0.75
only-gemini-thinking,logistics,19-packages,gemini-thinking,pddl,1,2,4,1524.0,,0.5,0.5
only-gemini-thinking,logistics,19-packages,gemini-thinking,sanity_check,1,2,4,1693.5,,0.5,0.5
only-gemini-thinking,logistics,21-packages,gemini-thinking,landmark,1,2,4,1427.75,75.5,0.5,0.5
only-gemini-thinking,logistics,21-packages,gemini-thinking,pddl,1,2,4,1807.0,,0.5,0.5
only-gemini-thinking,logistics,21-packages,gemini-thinking,sanity_check,1,1,4,1499.5,,0.25,0.25
only-gemini-thinking,logistics,23-packages,gemini-thinking,landmark,1,4,4,1556.0,83.0,1.0,1.0
only-gemini-thinking,logistics,23-packages,gemini-thinking,pddl,1,2,4,1780.75,,0.5,0.5
only-gemini-thinking,logistics,23-packages,gemini-thinking,sanity_check,1,4,4,2179.25,,1.0,1.0
only-gemini-thinking,logistics,25-packages,gemini-thinking,landmark,1,3,4,2258.75,95.0,0.75,0.75
only-gemini-thinking,logistics,25-packages,gemini-thinking,pddl,1,3,4,1818.75,,0.75,0.75
only-gemini-thinking,logistics,25-packages,gemini-thinking,sanity_check,1,3,4,2093.0,,0.75,0.75
only-gemini-thinking,logistics,27-packages,gemini-thinking,landmark,1,2,4,1867.5,97.0,0.5,0.5
only-gemini-thinking,logistics,27-packages,gemini-thinking,pddl,1,0,4,1968.25,,0.0,0.0
only-gemini-thinking,logistics,27-packages,gemini-thinking,sanity_check,1,2,4,1863.25,,0.5,0.5
only-gemini-thinking,logistics,29-packages,gemini-thinking,landmark,1,2,4,2287.5,102.5,0.5,0.5
only-gemini-thinking,logistics,29-packages,gemini-thinking,pddl,1,4,4,2063.75,,1.0,1.0
only-gemini-thinking,logistics,29-packages,gemini-thinking,sanity_check,1,2,4,2814.25,,0.5,0.5
only-gemini-thinking,logistics,3-packages,gemini-thinking,landmark,1,4,4,218.0,8.0,1.0,1.0
only-gemini-thinking,logistics,3-packages,gemini-thinking,pddl,1,4,4,226.5,,1.0,1.0
only-gemini-thinking,logistics,3-packages,gemini-thinking,sanity_check,1,4,4,234.0,,1.0,1.0
only-gemini-thinking,logistics,31-packages,gemini-thinking,landmark,1,1,4,2448.5,117.0,0.25,0.25
only-gemini-thinking,logistics,31-packages,gemini-thinking,pddl,1,0,4,2571.75,,0.0,0.0
only-gemini-thinking,logistics,31-packages,gemini-thinking,sanity_check,1,3,4,2570.5,,0.75,0.75
only-gemini-thinking,logistics,5-packages,gemini-thinking,landmark,1,4,4,294.0,12.5,1.0,1.0
only-gemini-thinking,logistics,5-packages,gemini-thinking,pddl,1,4,4,346.5,,1.0,1.0
only-gemini-thinking,logistics,5-packages,gemini-thinking,sanity_check,1,4,4,324.0,,1.0,1.0
only-gemini-thinking,logistics,7-packages,gemini-thinking,landmark,1,4,4,592.0,28.5,1.0,1.0
only-gemini-thinking,logistics,7-packages,gemini-thinking,pddl,1,4,4,588.5,,1.0,1.0
only-gemini-thinking,logistics,7-packages,gemini-thinking,sanity_check,1,4,4,660.5,,1.0,1.0
only-gemini-thinking,logistics,9-packages,gemini-thinking,landmark,1,4,4,626.0,28.5,1.0,1.0
only-gemini-thinking,logistics,9-packages,gemini-thinking,pddl,1,4,4,689.5,,1.0,1.0
only-gemini-thinking,logistics,9-packages,gemini-thinking,sanity_check,1,4,4,608.5,,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,landmark,1,4,4,501.5,24.0,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,pddl,1,4,4,433.5,,1.0,1.0
only-gemini-thinking,miconic,12-passenger,gemini-thinking,sanity_check,1,4,4,369.0,,1.0,1.0
only-gemini-thinking,miconic,16-passenger,gemini-thinking,landmark,1,4,4,674.0,32.0,1.0,1.0
only-gemini-thinking,miconic,16-passenger,gemini-thinking,pddl,1,2,4,662.75,,0.5,0.5
only-gemini-thinking,miconic,16-passenger,gemini-thinking,sanity_check,1,4,4,518.25,,1.0,1.0
only-gemini-thinking,miconic,20-passenger,gemini-thinking,landmark,1,4,4,771.0,40.0,1.0,1.0
only-gemini-thinking,miconic,20-passenger,gemini-thinking,pddl,1,3,4,667.5,,0.75,0.75
only-gemini-thinking,miconic,20-passenger,gemini-thinking,sanity_check,1,4,4,756.0,,1.0,1.0
only-gemini-thinking,miconic,24-passenger,gemini-thinking,landmark,1,4,4,1177.75,48.0,1.0,1.0
only-gemini-thinking,miconic,24-passenger,gemini-thinking,pddl,1,3,4,1185.75,,0.75,0.75
only-gemini-thinking,miconic,24-passenger,gemini-thinking,sanity_check,1,4,4,920.75,,1.0,1.0
only-gemini-thinking,miconic,28-passenger,gemini-thinking,landmark,1,4,4,1408.75,56.0,1.0,1.0
only-gemini-thinking,miconic,28-passenger,gemini-thinking,pddl,1,3,4,1253.25,,0.75,0.75
only-gemini-thinking,miconic,28-passenger,gemini-thinking,sanity_check,1,4,4,1254.75,,1.0,1.0
only-gemini-thinking,miconic,32-passenger,gemini-thinking,landmark,1,4,4,1637.75,64.0,1.0,1.0
only-gemini-thinking,miconic,32-passenger,gemini-thinking,pddl,1,4,4,1301.25,,1.0,1.0
